number,value,datetime_start,datetime_complete,duration,params_T,params_batch_size,params_cosine_s,params_d_model,params_div_factor,params_dropout,params_gamma_end,params_gamma_start,params_grad_clip,params_lambda_pdg,params_lambda_zplane,params_lr,params_nhead,params_num_layers,params_pct_start,state
12,,2026-03-11 20:01:51.485628,2026-03-11 20:02:00.645908,0 days 00:00:09.160280,500,64,0.018957140637842564,512,12.353392313929238,0.09479474518093702,0.17171637584105148,0.0018922070821124548,1.839709049453123,0.44140153687822214,0.6893532349970223,0.000586547356462272,8,5,0.15337337344772933,PRUNED
13,2.599936227615063,2026-03-11 20:02:00.690602,2026-03-11 21:18:00.478430,0 days 01:15:59.787828,1000,16,0.04976304094942074,512,21.643773188772318,0.11409524207082897,0.09379600694732748,0.0006039037404403287,2.1083663734066094,0.7629541162707888,1.0963585075450364,0.0011528855413264192,4,3,0.07476149063715587,COMPLETE
14,2.981354861993056,2026-03-11 21:18:00.531399,2026-03-11 21:31:12.326098,0 days 00:13:11.794699,1000,16,0.0074355469563754445,512,22.36856538261935,0.11502092584289587,0.14144683118869278,0.000555241526992148,2.432063509084327,0.3172311585775345,1.0628748880561676,0.001127941862180467,2,2,0.11351510561533881,PRUNED
15,3.1146181876842793,2026-03-11 21:31:12.496390,2026-03-11 21:51:35.605227,0 days 00:20:23.108837,500,16,0.0029547179505795833,512,21.79780053144588,0.126695345838343,0.21775959352319207,0.0005731756136786273,1.8062744795405932,0.6584066611367682,1.4133437777945608,0.0012712707117324572,4,3,0.1480825944388207,PRUNED
16,2.8561922238423274,2026-03-11 21:51:35.768013,2026-03-11 22:17:01.732345,0 days 00:25:25.964332,1000,16,0.015062476462382188,512,24.901276300160344,0.1779685143962062,0.09083526021749835,0.00022002611800309803,2.9378999860986648,0.5081978015420823,0.9955250796899279,0.001878419251350299,8,3,0.08208956809628276,PRUNED
17,2.85362197802617,2026-03-11 22:17:01.882473,2026-03-11 22:34:20.997904,0 days 00:17:19.115431,500,16,0.04760958889602143,512,19.345992789203965,0.24985544338807034,0.23210479073484153,0.0007772109640374377,1.977084555960571,0.2540165731568961,1.09474650688441,0.0010065567765249037,8,2,0.11070118434616283,PRUNED
18,3.1885753136414747,2026-03-11 22:34:21.145328,2026-03-11 22:54:42.595592,0 days 00:20:21.450264,500,16,0.00011289390428480217,512,29.01596371906091,0.1266847057804311,0.14637463227250563,0.00024257573211215597,2.0813430054629163,0.7291730535040493,1.9172831824833585,0.001750378638328834,4,3,0.07210986319039862,PRUNED
19,3.003336809231685,2026-03-11 22:54:42.777538,2026-03-11 23:07:54.702863,0 days 00:13:11.925325,1000,16,0.0030448752270859753,512,20.009057276525994,0.1809048921042859,0.09521246828643803,0.0001089895121079852,2.364630251784024,0.17944954894775686,0.1260341443230879,0.0011856943945768251,2,2,0.19127659122313795,PRUNED
20,2.516271189542917,2026-03-11 23:07:54.877066,2026-03-12 01:44:24.871824,0 days 02:36:29.994758,500,16,0.02541741735137932,512,26.12616609179769,0.10589139612487407,0.05087842560904246,0.0004780862422338542,1.736409863637071,0.5372506920776189,0.419964068553571,0.0009206900722469939,8,5,0.11256783251678755,COMPLETE
21,2.515642223908351,2026-03-12 01:44:24.925790,2026-03-12 04:20:58.065160,0 days 02:36:33.139370,500,16,0.02653175413241529,512,25.63921308590787,0.10389240762087415,0.05360327436980103,0.0005632981863909101,1.7288104953234633,0.5657158175138605,0.43920090864079997,0.0009373836361459833,8,5,0.10959188546256601,COMPLETE
22,2.525115235035236,2026-03-12 04:20:58.121621,2026-03-12 06:57:30.028014,0 days 02:36:31.906393,500,16,0.023265389870136495,512,24.933182687020444,0.08437472344222463,0.05836881216981003,0.00042889805769889404,1.698075993803212,0.5445825489115251,0.39145229786461777,0.0009386662221317631,8,5,0.11408315951464154,COMPLETE
23,2.8084214063791126,2026-03-12 06:57:30.081546,2026-03-12 07:39:20.868084,0 days 00:41:50.786538,500,16,0.00924743567879612,512,26.40664214593323,0.1380479872763293,0.0513646438443283,0.0002197270219500389,1.5476959096188883,0.4270625396475961,0.49207011650257004,0.0009181915648730585,8,5,0.13588946257636977,PRUNED
24,2.5315663209328285,2026-03-12 07:39:21.023968,2026-03-12 10:15:57.766534,0 days 02:36:36.742566,500,16,0.026346124615356365,512,27.431083055138124,0.10245377427534258,0.0742057773427916,0.0009263606969559889,1.7795588861725742,0.6171231957537903,0.31109862610725025,0.0006359598645620844,8,5,0.16523706203633154,COMPLETE
25,2.7761188727158768,2026-03-12 10:15:57.820909,2026-03-12 10:57:44.973145,0 days 00:41:47.152236,500,16,0.01137799944406025,512,23.870314034517207,0.1721913709335568,0.07118663891051742,0.00045186024955380096,1.6720554419872715,0.47038995988623006,0.24204760682410809,0.0007041486152719917,8,5,0.10573441174593273,PRUNED
26,2.837404707761911,2026-03-12 10:57:45.133407,2026-03-12 11:31:27.281287,0 days 00:33:42.147880,500,16,0.00486362760821498,512,29.873852785830046,0.05611498933015921,0.10883598626900769,0.0002682701479326254,1.8735068091638443,0.31582554784471273,0.5544635029360777,0.001428067185691261,8,4,0.11828590341801189,PRUNED
27,,2026-03-12 11:31:27.445884,,,500,16,0.027469193838925127,512,20.171979853556415,0.07967486704635804,0.1332134032284118,0.0010011669607275296,2.027496948054992,0.5822896623024119,0.7592524083828418,0.0008707213445779267,8,5,0.09283675526681469,RUNNING
